LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_775,Calvale to Stanwell,930,222,2.2651934118888313e-05,0.05210001152198583,0.0006958210643505059,1
l_776,Stanwell Power Station to Grantleigh,220,227,3.6631793938365194e-05,0.07642121803125097,6.585551960172466e-05,1
l_777,Stanwell to Bouldercombe,221,222,3.9361595948910315e-06,0.00905326490752933,0.0001209107683430323,1
l_778,Stanwell to Bouldercombe,222,221,3.925510970028561e-06,0.009028772805657753,0.00012058366437712877,1
l_779,Stanwell to Broadsound,222,178,2.838173609246956e-05,0.06527869848423322,0.000871828856305474,1
l_780,Stanwell to Broadsound,222,178,2.836423403331848e-05,0.06523844331314523,0.0008712912288621433,1
l_781,Bouldercombe-H10 to Calliope River-H67,616,221,2.2169726203574008e-05,0.05099092133074608,0.000681008623915565,1
l_782,Bouldercombe to Raglan,221,225,9.902525549467548e-06,0.02277605490622618,0.00030418532172239726,1
l_783,Bouldercombe to Broadsound,221,178,3.199661336930882e-05,0.073593006074279,0.0009828704892656088,1
l_784,Bouldercombe to Nebo 275,221,622,6.507509106459376e-05,0.14967432698969915,0.0019989736368478347,1
l_785,Bouldercombe 275 to Bouldercombe 132,223,221,3.174125717483419e-07,0.0006621858430480862,5.706346207280407e-07,1
l_786,Bouldercombe 275 to Bouldercombe 132,223,221,3.5799361948230987e-07,0.0007468459910613717,6.435899881064291e-07,1
l_787,Bouldercombe to Rockhampton,223,228,2.15579583207392e-05,0.04497419470937752,3.875623861483106e-05,1
l_788,Bouldercombe to Egans Hill,223,91,1.1787876843226133e-05,0.02459185886111483,2.1191884727730023e-05,1
l_789,Bouldercombe to Rocklands,223,784,1.1840282898811151e-05,0.024701188330666857,2.1286098732827214e-05,1
l_790,Bouldercombe to Pandoin,223,381,3.602724754918127e-05,0.07516001385720575,6.476868457939294e-05,1
l_791,Mudgeeraba to Burleigh Heads,599,299,5.982823507106324e-06,0.012177954878615579,5.316218212975171e-06,1
l_792,Mudgeeraba to Burleigh Heads,599,299,6.0221509968933405e-06,0.01225800544262547,5.351163839772952e-06,1
l_793,Mudgeeraba to Nerang,599,597,1.848092886641672e-05,0.037617676266532604,1.6421786555402245e-05,1
